DateTime;Media;Category/Gatra;Subcategory;Headline;Detail
202206161509;jogjatribun;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Isu Politik Identitas Mulai Merebak Jelang Pemilu 2024, Nalar Kebhinnekaan Perlu Dirawat;408
202205111417;jogjatribun;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Hindari Politik Transaksional, Penunjukan Penjabat Kepala Daerah Perlu Syarat Rekam Jejak;409
202111300557;jogjatribun;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Gerindra Buka Peluang Koalisi Dengan PDIP;410
202210130936;beritajatim;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Survei LSI Ganjar-Airlangga Teratas, Tetap Terbuka Peluang Diusung KIB;501
202210130858;beritajatim;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Fraksi Demokrat Dorong Khofifah Gandeng Emil di Pilgub Jatim 2024;502
202210130730;beritajatim;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Banner Bergambar Ketua DPC PKB Kabupaten Probolinggo Dirusak;503
202210122057;beritajatim;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Politisi Nasdem: Gagal Move-On Pilkada DKI, Muncul Anies-phobia;504
202210121835;beritajatim;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Baliho Ultah Golkar Terpampang di Jalanan Surabaya, Bikin Masyarakat Keheranan;505
202210121825;beritajatim;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Anies Sebagai Antitesa Jokowi;506
202210121523;beritajatim;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Warisi Pemikiran Cak Nur, Anies Baswedan Bukan Bapak Politik Identitas;507
202210131302;beritajatim;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Dukung Prabowo Jadi Presiden, Petani Jember Berharap Subsidi Berlanjut;508
202210131304;beritajatim;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Pengamat Sebut Jika Pasangan Ganjar-Airlangga Terwujud akan Terbentuk Pemerintahan Kuat;509
202210131207;beritajatim;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;ARAS Jatim Siap Menangkan Anies Baswedan di 2024;510
202210240443;fixsnews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;DPD PDIP Banten Bersama GNTI Resmikan Kebun Tanaman Pangan Di Cikeusal;601
202210210220;fixsnews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Ketua KPU Provinsi Banten Pantau Langsung Verifikasi Faktual 9 Parpol Baru;602
